01idhab;02idpolhab;03numsite;04cdhab;05lbhab;06rechab;07surfhab;08calrecha;09habdom;10cohabpol;11cdhabref;12lball;13autall;14lbsal;15autsal;16lbass;17autass;18formveg;19stadhhab;20cdn2000;21lbn2000;22cdcahab;23lbcahab;24cdcb;25lbcb;26cdeunis;27lbeunis;28cddynhab;29lbdynhab;30cdusagpr;31lbusagpr;32plusages;33cddegprh;34lbdegprh;35pldeghab;36cdedchab;37lbedchab;38cdgest;39lbgest;40plgest;41cdrestau;42lbrestau;43cdhabori;44cocbn;45evalcbn;46uuidhab;47uuidpol;;;;;;;;;;;;;;;;;;;;
1801;1801;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);85;0,27;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;A03.01;Fauche intensive ou intensification;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1802;1802;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);100;3,82;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A03;Fauche de prairies;U;A08;Fertilisation;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1805;1805;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);100;0,91;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1806;1806;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);100;0,22;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1807;1807;FR8201720;QUE_ROB2;Chênaie sessiliflore (-hêtraie) acidophile mésophile;100;0,69;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);IC;9110;Hêtraies du Luzulo-Fagetum;9110-1;Hêtraies, hêtraies-chênaies acidiphiles collinéennes;41.111;Hêtraies collinéennes à Luzule;G1.611;Hêtraies collinéennes médio-européennes à Luzule;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1808;1808;FR8201720;CEP_FAG;Hêtraies et hêtraies-pinèdes sylvestres semisèches à céphalanthères (Cephalanthera spp.) des sols calcaires ou peu acides;100;4,22;O;oui;;31669;Cephalanthero damasonii-Fagion sylvaticae;(Tüxen 1955) Willner 2002;non renseigné;non renseigné;non renseigné;non renseigné;Forêts;IC;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;41.16;Hêtraies sur calcaire;G1.66;Hêtraies calcicoles médio-européennes;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2441;2441;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2442;2442;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.07;Terrain de sport;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2443;2443;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2444;2444;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2445;2445;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2446;2446;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2447;2447;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2448;2448;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2449;2449;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2450;2450;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2451;2451;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2452;2452;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2453;2453;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2454;2454;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2455;2455;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2456;2456;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2457;2457;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2458;2458;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2459;2459;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,07;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2460;2460;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2461;2461;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2462;2462;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2463;2463;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2464;2464;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2465;2465;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2466;2466;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2467;2467;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2468;2468;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2469;2469;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2470;2470;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2471;2471;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,04;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2472;2472;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2473;2473;FR8201720;GOL_BAS;Bassins des parcs;100;0,14;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.13;Bassins de parcs;C1.2;Lacs, étangs et mares mésotrophes permanents;-1;non renseigné;NR;non renseigné;U;G02.07;Terrain de sport;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2474;2474;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,04;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2475;2475;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2476;2476;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2477;2477;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,56;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2478;2478;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2479;2479;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2481;2481;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2482;2482;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;1,17;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2483;2483;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,24;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2484;2484;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,39;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2485;2485;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,7;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2486;2486;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,45;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
2487;2487;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,45;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
